url,asin,priority_score,source,rank,category,title
https://www.amazon.ae/amazon-echo-spot-2024-release-smart-alarm-clock-with-vibrant-sound-alexa-black/dp/B0C2S3BYV9,B0C2S3BYV9,110.0,bestsellers,9,Amazon Devices & Accessories,AED 334.99
https://www.amazon.ae/ECVV-Foldable-All-inclusive-Convenient-Rotatable/dp/B0F29R3P8K,B0F29R3P8K,110.0,bestsellers,9,Amazon Devices & Accessories,
https://www.amazon.ae/Talabat-Gift-Card-50-Delivered/dp/B0FVF5B36R,B0FVF5B36R,110.0,bestsellers,9,Gift Cards,AED 50.00
https://www.amazon.ae/Sebamed-Baby-Wipes-Pack-Value/dp/B07MVWNMT7,B07MVWNMT7,110.0,bestsellers,9,Baby Products,AED 37.20
https://www.amazon.ae/Jestilo-Inflatable-Tummy-Time-Water/dp/B08C7QM7N9,B08C7QM7N9,110.0,bestsellers,9,Baby Products,AED 11.59
https://www.amazon.ae/Vtopmart-Pack-Containers-Microwave-Dishwasher/dp/B0C4HLZVJW,B0C4HLZVJW,110.0,bestsellers,9,See More,AED 99.19
https://www.amazon.ae/Cuisine-Art-Disposable-Water-proof-Parchment/dp/B0DZSLTX6F,B0DZSLTX6F,110.0,bestsellers,9,See More,AED 8.85
https://www.amazon.ae/ProCase-Generation-Pencil-Holder-Supports/dp/B0B8GN3TXM,B0B8GN3TXM,110.0,bestsellers,9,Computers,AED 49.99
https://www.amazon.ae/UGREEN-Connection-Ergonomic-Adjustable-Compatible/dp/B0CZCVT6DY,B0CZCVT6DY,110.0,bestsellers,9,Computers,AED 37.50
https://www.amazon.ae/NETEL-Expandable-Microwave-Adjustable-adjustable/dp/B0DRVL1RHV,B0DRVL1RHV,110.0,bestsellers,9,See More,AED 56.68
https://www.amazon.ae/Bompani-Upright-Freezer-120L-Mechanical/dp/B0FKT5S97F,B0FKT5S97F,110.0,bestsellers,9,See More,AED 629.10
https://www.amazon.ae/Little-Trees-Vent-Black-Ice-80/dp/B01C99ANJ2,B01C99ANJ2,110.0,bestsellers,9,Automotive,AED 14.79
https://www.amazon.ae/SHIAWASENA-Steering-Universal-Anti-Slip-Odor-Free/dp/B078M885XK,B078M885XK,110.0,bestsellers,9,Automotive,AED 21.00
https://www.amazon.ae/ECVV-Pieces-Decorated-Balloons-Assorted/dp/B0CS3QMQLH,B0CS3QMQLH,110.0,bestsellers,9,Toys,AED 11.00
https://www.amazon.ae/Ultra-Pro-AW1365-Standard-Sleeves/dp/B0002TT3N4,B0002TT3N4,110.0,bestsellers,9,Toys,AED 24.00
https://www.amazon.ae/TOCOL-17-Pro-Max-Translucent/dp/B0FDKY4497,B0FDKY4497,110.0,bestsellers,9,Mobile Phones & Communication Products,AED 65.99
https://www.amazon.ae/ESR-Supports-Shockproof-Military-Grade-Protection/dp/B0BLS1TRKZ,B0BLS1TRKZ,110.0,bestsellers,9,Mobile Phones & Communication Products,AED 42.99
https://www.amazon.ae/Vileda-Floor-Classic-wiping-efficiency/dp/B07MWGVHBN,B07MWGVHBN,110.0,bestsellers,9,Home,AED 24.00
https://www.amazon.ae/upsimples-29-71x41-91cm-Pictures-8-3x11-7inch-16-5inch/dp/B0C5J5T6D4,B0C5J5T6D4,110.0,bestsellers,9,Home,AED 36.75
https://www.amazon.ae/Bookouture-Housemaids-Secret-Freida-McFadden/dp/0349132607,0349132607,110.0,bestsellers,9,Books,Paperback
https://www.amazon.ae/Sheba-Cat-Food-Ingredients-Essential-Sensitive/dp/B07MVQRC96,B07MVQRC96,110.0,bestsellers,9,Pet Supplies,AED 91.80
https://www.amazon.ae/Sheba-Consumption-Necessary-Nutritional-Requirements/dp/B09P1WBRJM,B09P1WBRJM,110.0,bestsellers,9,Pet Supplies,AED 70.89
https://www.amazon.ae/Crep-Protect-Shoe-Protector-Spray/dp/B013YRRFJ4,B013YRRFJ4,110.0,bestsellers,9,Fashion,AED 79.00
https://www.amazon.ae/Crocs-Unisex-Adult-Classic-36-37/dp/B09NMCDLWC,B09NMCDLWC,110.0,bestsellers,9,Fashion,AED 164.82
https://www.amazon.ae/MERACH-Vibration-Equipment-Bluetooth-Vibrating/dp/B0G1165WTM,B0G1165WTM,110.0,bestsellers,9,Sporting Goods,
https://www.amazon.ae/MARKQ-Pack-Clear-Tape-Rolls/dp/B0B7FFZ96Z,B0B7FFZ96Z,110.0,bestsellers,9,Office Products,AED 12.95
